Date,PostDate,Description,Category,TransactionType,Amount,Account
2025-05-29,2025-06-01,TST*FLACOS TACOS - DEAR,Food & Drink,Sale,-11.0,chase2641
2025-05-30,2025-06-01,CHIPOTLE 2153,Food & Drink,Sale,-10.62,chase2641
2025-06-02,2025-06-03,CHIPOTLE 0088,Food & Drink,Sale,-10.23,chase2641
2025-06-03,2025-06-04,UBER   *EATS,Food & Drink,Sale,-22.48,chase2641
2025-06-04,2025-06-05,SQ *KURIMU,Food & Drink,Sale,-7.85,chase2641
2025-06-05,2025-06-06,CHIPOTLE 2153,Food & Drink,Sale,-10.62,chase2641
2025-06-07,2025-06-10,NAF NAF GRILL 012,Food & Drink,Sale,-17.04,chase2641
2025-06-08,2025-06-09,AMAZON MKTPL*NH2LI8NM1,Shopping,Sale,-26.78,chase2641
2025-06-08,2025-06-09,CHIPOTLE 2153,Food & Drink,Sale,-10.62,chase2641
2025-06-08,2025-06-09,TARGET        00018895,Shopping,Sale,-141.33,chase2641
2025-06-09,2025-06-10,NOODLES &amp; CO 673,Food & Drink,Sale,-12.59,chase2641
2025-06-09,2025-06-10,US CHESS FEDERATION,Health & Wellness,Sale,-66.0,chase2641
2025-06-10,2025-06-11,Whole Foods SLP 10171,Groceries,Sale,-43.87,chase2641
2025-06-15,2025-06-16,TST* GIORDANOS - JACKSON,Food & Drink,Sale,-53.63,chase2641
2025-06-15,2025-06-16,Payment Thank You-Mobile,,Payment,406.57,chase2641
2025-06-16,2025-06-17,Subway 32089,Food & Drink,Sale,-10.43,chase2641
2025-06-18,2025-06-20,SPORT CLIPS - IL205 - SOU,Personal,Sale,-40.0,chase2641
2025-06-18,2025-06-22,NAF NAF GRILL 005,Food & Drink,Sale,-15.66,chase2641
2025-06-19,2025-06-22,GREAT AM BAG T3 RB ORD,Food & Drink,Sale,-16.53,chase2641
2025-06-19,2025-06-22,GREAT AM BAG T3 RB ORD,Food & Drink,Sale,-11.95,chase2641
2025-06-19,2025-06-22,GREAT AM BAG T3 RB ORD,Food & Drink,Return,16.53,chase2641
2025-06-21,2025-06-22,YOSEMITE BUG RUSTIC MOUNT,Food & Drink,Sale,-48.3,chase2641
2025-06-22,2025-06-23,TST*FAT SALS - WESTWOOD,Food & Drink,Sale,-9.77,chase2641
2025-06-22,2025-06-24,GRECO'S NEW YORK PIZZA,Food & Drink,Sale,-14.0,chase2641
2025-06-22,2025-06-22,Subway 21594,Food & Drink,Sale,-14.0,chase2641
2025-06-23,2025-06-24,CHIPOTLE 2153,Food & Drink,Sale,-10.62,chase2641
2025-06-24,2025-06-25,ALGOEXPERT LLC,Shopping,Sale,-119.0,chase2641
2025-06-24,2025-06-25,CHIPOTLE MEX GR ONLINE,Food & Drink,Sale,-11.23,chase2641
2025-06-27,2025-06-29,DD/BR #339728 Q35,Food & Drink,Sale,-3.4,chase2641
2025-06-28,2025-06-29,DECKERS*HOKA ONE ONE,Shopping,Sale,-110.24,chase2641
2025-06-28,2025-06-29,KR CHESS TOURNAMENT,Gifts & Donations,Sale,-14.99,chase2641
2025-06-29,2025-06-30,GITHUB  INC.,Professional Services,Sale,-11.1,chase2641
